brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,clean_title,price,Accident_occured,Engine_capacity,Horse_Power
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,6-Speed A/T,Black,Black,Yes,10300.0,YES,3.7,300.0
Hyundai,Palisade SEL,2021,34742.0,Gasoline,8-Speed Automatic,Moonlight Cloud,Gray,Yes,38005.0,YES,3.8,386.1756393672367
Lexus,RX 350 RX 350,2022,22372.0,Gasoline,Automatic,Blue,Black,UNKNOWN,54598.0,NO,3.5,392.3745514252405
INFINITI,Q50 Hybrid Sport,2015,88900.0,Hybrid,7-Speed A/T,Black,Black,Yes,15500.0,NO,3.5,354.0
Audi,Q3 45 S line Premium Plus,2021,9835.0,Gasoline,8-Speed Automatic,Glacier White Metallic,Black,UNKNOWN,34999.0,NO,2.0,334.25411289319163
Acura,ILX 2.4L,2016,136397.0,Gasoline,F,Silver,Ebony.,UNKNOWN,14798.0,NO,2.4,255.59153554707336
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,6-Speed A/T,Blue,Black,Yes,31000.0,NO,2.0,292.0
BMW,740 iL,2001,242000.0,Gasoline,A/T,Green,Green,Yes,7300.0,NO,4.4,282.0
Lexus,RC 350 F Sport,2021,23436.0,Gasoline,6-Speed A/T,Black,Black,Yes,41927.0,NO,3.5,311.0
Tesla,Model X Long Range Plus,2020,34000.0,Electric,A/T,Black,Black,Yes,69950.0,NO,0.0,534.0
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,Gasoline,Automatic,Fuji White,Pimento / Ebony,UNKNOWN,73897.0,NO,3.5,392.86993596927823
Aston,Martin DBS Superleggera,2019,22770.0,Gasoline,8-Speed A/T,Silver,Black,Yes,184606.0,NO,5.2,715.0
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,A/T,Yellow,Black,Yes,53500.0,NO,3.0,382.0
Lincoln,Aviator Reserve AWD,2022,18196.0,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,Yes,62000.0,NO,3.0,400.0
Jaguar,F-TYPE,2020,15903.0,Gasoline,Automatic,Silver,Black,UNKNOWN,47998.0,NO,2.0,331.7942557355691
Land,Rover LR4 HSE,2013,79800.0,Gasoline,A/T,White,Black,Yes,29990.0,NO,5.0,375.0
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,9-Speed Automatic,Gray,White,Yes,250000.0,NO,2.0,414.45415959595084
Dodge,Challenger SXT,2013,61074.0,Gasoline,A/T,Black,Gray,Yes,16800.0,NO,3.6,305.0
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,6-Speed M/T,Purple,–,Yes,11000.0,NO,3.5,287.0
Jaguar,F-TYPE R,2018,35250.0,Gasoline,8-Speed A/T,Green,Black,Yes,68750.0,NO,5.0,550.0
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,8-Speed A/T,Green,Beige,UNKNOWN,60000.0,YES,3.5,375.0
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,A/T,Blue,Black,Yes,4500.0,NO,2.2,120.0
BMW,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,Automatic,White,Beige,UNKNOWN,38598.0,NO,3.0,359.7717545112446
